Ind,ProjectID,SWE,AFP,EI,EO,EQ,ILF,EIF,NPDR,IS_Banking,IS_Communication,IS_Construction,IS_Electronics & Computers,IS_Financial,IS_Government,IS_Insurance,IS_Manufacturing,IS_Medical & Health Care,IS_Mining,IS_Professional Services,IS_Service Industry,IS_Utilities,IS_Wholesale & Retail,RS_M1,RS_M2,RS_S
94,0.531179800521161,0.761274306992139,0.30947368421052635,0.0918918918918919,0.17197452229299365,0.7573529411764706,0.03496503496503496,0.6326530612244897,0.4434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,0.7518644981579656,0.06716314991035718,0.01684210526315788,0.0,0.07643312101910828,0.022058823529411763,0.15384615384615385,0.14285714285714285,0.18956521739130436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,0.7954892622877168,0.07943731899048409,0.4168421052631579,0.3081081081081081,0.7261146496815287,0.3970588235294118,0.1258741258741259,0.510204081632653,0.03304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
159,0.8445502740587654,0.2846503930492346,0.13052631578947368,0.043243243243243246,0.11464968152866244,0.13970588235294118,0.13986013986013984,0.673469387755102,0.41391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,0.07871327163267144,0.08164391118466419,0.8484210526315789,0.41621621621621624,0.6496815286624205,0.9191176470588235,0.6293706293706294,0.9183673469387755,0.010434782608695653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
165,0.8854344505346392,0.8964280788856711,0.6021052631578947,0.7513513513513514,0.37579617834394907,0.27941176470588236,0.4335664335664336,0.20408163265306117,0.39304347826086955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,0.4639230838350256,0.13501585988139567,0.21263157894736842,0.08648648648648649,0.178343949044586,0.2720588235294118,0.18181818181818182,0.6122448979591836,0.12173913043478263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,0.8163356995237667,0.17569990346159153,0.28421052631578947,0.6324324324324324,0.178343949044586,0.11029411764705882,0.11888111888111887,0.20408163265306117,0.10956521739130434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,0.8033066762512355,0.2487932698938078,0.6252631578947367,0.6270270270270271,0.5541401273885351,0.1323529411764706,0.6643356643356644,0.9183673469387755,0.07130434782608697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164,0.8729445592595921,0.2940284098745001,0.5557894736842105,0.2972972972972973,0.9936305732484076,0.22794117647058823,0.3706293706293706,0.1020408163265306,0.10608695652173913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
