,ProjectID,realValues,predictValues,AFP,MRE,BRE,IBRE
168,0.9097403180878785,0.05640601296372916,0.3525115489959717,0.1326315789473684,2.1470612417697903,2.1470612417697903,0.682243234822581
104,0.5982118788750113,0.4370431664597986,0.47146992683410643,0.4084210526315789,0.06639054241332595,0.06639054241332595,0.06225724982807791
41,0.18613532213136846,0.0700593021652186,0.1954491138458252,0.002105263157894721,0.8272989303876965,0.8272989303876965,0.4527441660638247
4,0.019049330577769807,0.10150324093228522,0.31830534934997556,0.5136842105263157,1.184651159108269,1.184651159108269,0.542261016899293
173,0.9507592775631233,0.564887601710109,0.47755999565124513,0.4357894736842105,0.13509973789904445,0.15620267887405836,0.13509973789904445
108,0.6117800341450266,0.18590539235967452,0.2222705602645874,0.08421052631578946,0.13598959900903718,0.13598959900903718,0.11971025010058682
79,0.4291939976637614,0.3718107847193491,0.18895494937896729,0.6547368421052631,0.40337318589994164,0.6760896030266136,0.40337318589994164
19,0.08590169826579203,0.05295821266032272,0.3249404191970825,0.06526315789473683,2.0227107483056876,2.0227107483056876,0.6691711237800284
93,0.5285290682001977,0.08812577575506828,0.13614269495010375,0.5747368421052631,0.28306559437658735,0.28306559437658735,0.22061661977158895
82,0.4604636535178363,0.3505723348503655,0.3627788543701172,0.9347368421052632,0.028250709555608045,0.028250709555608045,0.027474534462337018
37,0.16892802587833583,0.08081643911184666,0.24578092098236085,0.1557894736842105,1.0162765149049269,1.0162765149049269,0.504036280436886
162,0.8667445412885255,0.058474693145773,0.3624032735824585,0.16631578947368422,2.1712178687156714,2.1712178687156714,0.6846637344393511
90,0.4722796297960284,0.031030202730657847,0.1639942169189453,0.6421052631578947,1.181522140783422,1.181522140783422,0.541604469051649
42,0.20172522239194896,0.6596331540477176,0.4258213996887207,0.3347368421052631,0.31547618735710575,0.4608695585608282,0.31547618735710575
100,0.5650103333632852,0.4180113087849952,0.556832218170166,0.6968421052631578,0.27791010876639227,0.27791010876639227,0.21747234555853687
125,0.6980411537424747,0.013101641152944418,0.46845107078552245,0.39578947368421047,4.813030195722774,4.813030195722774,0.8279726809718277
71,0.3676880222841225,0.09474555233760862,0.19086344242095948,0.2884210526315789,0.5453449303555377,0.5453449303555377,0.35289527900419626
72,0.36899092461137567,0.03475382705833678,0.25113022327423096,0.21473684210526314,1.8611450165616237,1.8611450165616237,0.650489578748529
26,0.1143409111330757,0.06495655771617709,0.22564115524291992,0.1136842105263158,1.0971035938478455,1.0971035938478455,0.5231518352580943
152,0.8055979872405428,1.0,0.5285782814025879,0.5705263157894737,0.435893761993093,0.772715727330347,0.435893761993093
158,0.8389343157516398,0.9725555095848848,0.3973195791244507,0.1831578947368421,0.5457327923287464,1.2013475397583286,0.5457327923287464
129,0.7190673016443525,0.692594124948283,0.5133677005767823,0.4989473684210526,0.2315287374163107,0.30128483482633334,0.2315287374163107
145,0.7946805642914907,0.019997241759757284,0.2997701644897461,0.38315789473684203,2.7562954656455823,2.7562954656455823,0.7337802605929634
128,0.712912211339743,0.28258171286719075,0.3895810604095459,0.3326315789473684,0.29388343523849136,0.29388343523849136,0.22713285233790953
117,0.6721628178632402,0.07488622258998759,0.548145341873169,0.6589473684210526,3.0261039452578027,3.0261039452578027,0.7516209184867513
52,0.26430946176655584,0.2853399531099159,0.19813380241394044,0.30105263157894735,0.23771872131448038,0.31185171138454737,0.23771872131448038
33,0.14969898463473802,0.8425044821403944,0.367935848236084,0.1326315789473684,0.5135965917074858,1.0559066465229578,0.5135965917074858
174,0.9513433372270643,0.32561026065370297,0.25181217193603517,0.22736842105263158,0.18127030531565355,0.2214043370999761,0.18127030531565355
95,0.5336508221762961,0.24824162184526272,0.5431080818176269,0.6378947368421052,0.8942186119864548,0.8942186119864548,0.47207783004977105
150,0.8033066762512355,0.2487932698938078,0.1641814112663269,0.6252631578947367,0.25616725966925413,0.3443882552888827,0.25616725966925413
143,0.7896486656483062,0.6007447248655358,0.19102787971496582,0.11578947368421053,0.6005370616912842,1.5033611484306781,0.6005370616912842
31,0.1347380717045557,0.2836850089642808,0.5232354640960694,0.5431578947368421,0.6559593467373861,0.6559593467373861,0.3961204410179357
23,0.10544523317458893,0.7529995862639636,0.4881892204284668,0.6736842105263158,0.31732605563926414,0.464828133929166,0.31732605563926414
80,0.44204331027046456,0.020824713832574823,0.22790765762329102,0.35789473684210527,2.0236636461273356,2.0236636461273356,0.6692753834306983
166,0.8854344505346392,0.8964280788856711,0.19432516098022462,0.6021052631578947,0.7179450370515289,2.5454082762680943,0.7179450370515289
53,0.27019498607242337,0.403392635498552,0.37044899463653563,0.23157894736842102,0.06793923205076244,0.07289141908659606,0.06793923205076244
62,0.3222212238296343,0.25362019031857674,0.16330726146698,0.24210526315789474,0.26948931979544366,0.36890537961742287,0.26948931979544366
