,ProjectID,realValues,predictValues,AFP,MRE,BRE,IBRE
168,0.9097403180878785,0.05640601296372916,0.33726954460144043,0.1326315789473684,2.036541467905044,2.036541467905044,0.6706779701283266
104,0.5982118788750113,0.4370431664597986,0.48771018981933595,0.4084210526315789,0.09770919850532064,0.09770919850532064,0.08901191557688039
41,0.18613532213136846,0.0700593021652186,0.11137937307357788,0.002105263157894721,0.27262223308144984,0.27262223308144984,0.21422086302966672
4,0.019049330577769807,0.10150324093228522,0.3082693815231323,0.5136842105263157,1.1298125737936944,1.1298125737936944,0.5304751167757611
173,0.9507592775631233,0.564887601710109,0.49402265548706054,0.4357894736842105,0.10963126201479084,0.12313017892213107,0.10963126201479084
108,0.6117800341450266,0.18590539235967452,0.20116784572601318,0.08421052631578946,0.05707480627092379,0.05707480627092379,0.05399315727925481
79,0.4291939976637614,0.3718107847193491,0.184428608417511,0.6547368421052631,0.4133581260616452,0.704617492247206,0.4133581260616452
19,0.08590169826579203,0.05295821266032272,0.33882596492767336,0.06526315789473683,2.1259764837851893,2.1259764837851893,0.6800999607044012
93,0.5285290682001977,0.08812577575506828,0.260252046585083,0.5747368421052631,1.0147053575515748,1.0147053575515748,0.5036495057444643
82,0.4604636535178363,0.3505723348503655,0.3341952323913574,0.9347368421052632,0.03790308647630623,0.0393963289389274,0.03790308647630623
37,0.16892802587833583,0.08081643911184666,0.2621305465698242,0.1557894736842105,1.1169996543566658,1.1169996543566658,0.5276333664287302
162,0.8667445412885255,0.058474693145773,0.35404531955718993,0.16631578947368422,2.111509962669147,2.111509962669147,0.6786126311669689
90,0.4722796297960284,0.031030202730657847,0.179531729221344,0.6421052631578947,1.3195889320881928,1.3195889320881928,0.5688891311014502
42,0.20172522239194896,0.6596331540477176,0.4402769088745117,0.3347368421052631,0.295971740556553,0.42039752891528315,0.295971740556553
100,0.5650103333632852,0.4180113087849952,0.5612987041473388,0.6968421052631578,0.28685171280296906,0.28685171280296906,0.22290968722274931
125,0.6980411537424747,0.013101641152944418,0.48478379249572756,0.39578947368421047,4.985666588026997,4.985666588026997,0.8329342295809996
71,0.3676880222841225,0.09474555233760862,0.20323433876037597,0.2884210526315789,0.6155337952672033,0.6155337952672033,0.3810095443812095
72,0.36899092461137567,0.03475382705833678,0.26757636070251467,0.21473684210526314,2.0026052093166475,2.0026052093166475,0.6669558832119703
26,0.1143409111330757,0.06495655771617709,0.20687572956085204,0.1136842105263158,0.9689792043745182,0.9689792043745182,0.4921226197928952
152,0.8055979872405428,1.0,0.5237783432006836,0.5705263157894737,0.44033196039936795,0.7867734607707456,0.44033196039936795
158,0.8389343157516398,0.9725555095848848,0.4054083347320557,0.1831578947368421,0.5380588989739452,1.1647781454796275,0.5380588989739452
129,0.7190673016443525,0.692594124948283,0.5046278953552246,0.4989473684210526,0.24281901492593383,0.32068821023309463,0.24281901492593383
145,0.7946805642914907,0.019997241759757284,0.313328218460083,0.38315789473684203,2.8898680870299756,2.8898680870299756,0.7429218735374833
128,0.712912211339743,0.28258171286719075,0.3976918935775757,0.3326315789473684,0.31616057588295493,0.31616057588295493,0.24021428819265198
117,0.6721628178632402,0.07488622258998759,0.5500275135040283,0.6589473684210526,3.038138889257239,3.038138889257239,0.7523611675021072
52,0.26430946176655584,0.2853399531099159,0.21183271408081056,0.30105263157894735,0.2003763121052793,0.2505882643782572,0.2003763121052793
33,0.14969898463473802,0.8425044821403944,0.3777205467224121,0.1326315789473684,0.5030072113008641,1.0121016295175445,0.5030072113008641
174,0.9513433372270643,0.32561026065370297,0.2685302019119263,0.22736842105263158,0.14020579469397793,0.16306901561877263,0.14020579469397793
95,0.5336508221762961,0.24824162184526272,0.5435626983642579,0.6378947368421052,0.8955972922790605,0.8955972922790605,0.47246179129233273
150,0.8033066762512355,0.2487932698938078,0.17841131687164308,0.6252631578947367,0.21308540349215702,0.27078593336276136,0.21308540349215702
143,0.7896486656483062,0.6007447248655358,0.157098650932312,0.11578947368421053,0.6502683812593099,1.859335405820009,0.6502683812593099
31,0.1347380717045557,0.2836850089642808,0.5163628101348877,0.5431578947368421,0.6371400061510839,0.6371400061510839,0.38917869196111093
23,0.10544523317458893,0.7529995862639636,0.4786071300506592,0.6736842105263158,0.32880841183319615,0.4898875635960459,0.32880841183319615
80,0.44204331027046456,0.020824713832574823,0.243245530128479,0.35789473684210527,2.173548974341781,2.173548974341781,0.6848953622316769
166,0.8854344505346392,0.8964280788856711,0.18298147916793822,0.6021052631578947,0.7295446755821858,2.697468342147132,0.7295446755821858
53,0.27019498607242337,0.403392635498552,0.373004150390625,0.23157894736842102,0.06266976834970941,0.06685986030704591,0.06266976834970941
62,0.3222212238296343,0.25362019031857674,0.17126739025115967,0.24210526315789474,0.24573668859623096,0.32579695297506556,0.24573668859623096
