Ind,ProjectID,realValues,predictValues,AFP,MRE,BRE,IBRE
0,0.9097403180878784,0.056406012963729164,0.3079290222917732,0.1326315789473684,1.8237933406376468,1.8237933406376468,0.645866435900657
1,0.5982118788750113,0.4370431664597986,0.38626441294582264,0.4084210526315789,0.09792466535368088,0.10855486409244819,0.09792466535368088
2,0.18613532213136846,0.0700593021652186,0.2473816084728429,0.002105263157894721,1.1699399845646803,1.1699399845646803,0.5391577614527373
3,0.01904933057776981,0.10150324093228523,0.28462018015510154,0.5136842105263157,1.0005884900562476,1.0005884900562476,0.5001470792367277
4,0.9507592775631232,0.564887601710109,0.3912179198829751,0.4357894736842105,0.26867481607180443,0.36738077940740516,0.26867481607180443
5,0.6117800341450266,0.1859053923596745,0.2622421292843003,0.08421052631578946,0.2854655386490262,0.2854655386490262,0.22207171648416127
6,0.4291939976637614,0.3718107847193491,0.3103304892420205,0.6547368421052631,0.13562324992580146,0.15690293603357505,0.13562324992580146
7,0.08590169826579203,0.05295821266032272,0.3241550567338341,0.06526315789473683,2.0168700680790064,2.0168700680790064,0.6685306369071603
8,0.5285290682001977,0.08812577575506828,0.24369257674719158,0.5747368421052631,0.9170852634096633,0.9170852634096633,0.4783747916243257
9,0.4604636535178363,0.3505723348503655,0.4815241617372161,0.9347368421052632,0.3030742728236687,0.3030742728236687,0.23258403541873976
10,0.16892802587833586,0.08081643911184666,0.26444074438943677,0.1557894736842105,1.1312318076192065,1.1312318076192065,0.5307877836540468
11,0.8667445412885255,0.05847469314577299,0.3140256462144224,0.16631578947368422,1.8256157248283518,1.8256157248283518,0.6460948347600426
12,0.4722796297960284,0.03103020273065785,0.2880101039853731,0.6421052631578947,2.2835309607817895,2.2835309607817895,0.6954498032928839
13,0.20172522239194896,0.6596331540477176,0.3445087658276683,0.3347368421052631,0.4251892331566016,0.7397029730176232,0.4251892331566016
14,0.5650103333632852,0.4180113087849952,0.44304711518946444,0.6968421052631578,0.050119997857207714,0.050119997857207714,0.04772787677549103
15,0.6980411537424747,0.013101641152944418,0.3839781789748292,0.3957894736842105,3.9201541920502723,3.9201541920502723,0.7967543371677767
16,0.3676880222841225,0.09474555233760862,0.2239955527975567,0.2884210526315789,0.7333268805438837,0.7333268805438837,0.4230747753209598
17,0.3689909246113757,0.03475382705833678,0.2751098362540728,0.21473684210526314,2.0674038228686618,2.0674038228686618,0.6739914084527705
18,0.1143409111330757,0.06495655771617709,0.2252337114950152,0.1136842105263158,1.0943216968459086,1.0943216968459086,0.5225184356796664
19,0.8055979872405428,1.0,0.42018477547953,0.5705263157894737,0.5361183617696924,1.1557223170439888,0.5361183617696924
20,0.8389343157516398,0.9725555095848848,0.34549324046310625,0.1831578947368421,0.5949010222951743,1.4685325193011156,0.5949010222951743
21,0.7190673016443525,0.692594124948283,0.4072294496439005,0.4989473684210526,0.3686405238966822,0.5838837268617422,0.3686405238966822
22,0.7946805642914907,0.019997241759757284,0.2313225444378576,0.383157894736842,2.0819562088572083,2.0819562088572083,0.6755307563663272
23,0.712912211339743,0.28258171286719075,0.37712736902582017,0.3326315789473684,0.2596782396993266,0.2596782396993266,0.2061464836935735
24,0.6721628178632402,0.07488622258998759,0.4361884132764841,0.6589473684210526,2.310231203410746,2.310231203410746,0.6979062976115883
25,0.26430946176655584,0.2853399531099159,0.22628178676855012,0.3010526315789473,0.16098900907565528,0.19187949957400735,0.16098900907565528
26,0.14969898463473802,0.8425044821403944,0.33634830457913245,0.1326315789473684,0.5477818572383151,1.2113221594627426,0.5477818572383151
27,0.9513433372270644,0.32561026065370297,0.27739607022506624,0.2273684210526316,0.11842855514838918,0.1343380117856738,0.11842855514838918
28,0.5336508221762961,0.2482416218452627,0.4323780233248284,0.6378947368421052,0.5584161635835763,0.5584161635835763,0.3583228771828822
29,0.8033066762512355,0.2487932698938078,0.2849617920240485,0.6252631578947367,0.10950227723021949,0.10950227723021949,0.098694954915805
30,0.7896486656483062,0.6007447248655358,0.21278450647963357,0.11578947368421053,0.5686475729767894,1.3182899581696126,0.5686475729767894
31,0.1347380717045557,0.2836850089642808,0.4152312685423775,0.5431578947368421,0.36021220853503755,0.36021220853503755,0.2648205965766105
32,0.10544523317458893,0.7529995862639636,0.40585604404932574,0.6736842105263158,0.41598708058144757,0.7122908873242176,0.41598708058144757
33,0.44204331027046456,0.020824713832574827,0.23656983963802067,0.3578947368421053,2.1083125434168304,2.1083125434168304,0.6782820305126896
34,0.8854344505346392,0.8964280788856711,0.30080451436288114,0.6021052631578947,0.6090631034204977,1.557957585353258,0.6090631034204977
35,0.27019498607242337,0.40339263549855203,0.3588374972578726,0.23157894736842105,0.09188546853901211,0.10118268715641565,0.09188546853901211
36,0.3222212238296343,0.25362019031857674,0.21561269490391408,0.24210526315789474,0.1134124894039996,0.1279202425576231,0.1134124894039996
