,SWE
94,0.761274306992139
136,0.06716314991035718
146,0.07943731899048409
159,0.2846503930492346
17,0.08164391118466419
165,0.8964280788856711
85,0.13501585988139567
155,0.17569990346159153
150,0.2487932698938078
164,0.2940284098745001
68,0.06688732588608468
93,0.08812577575506828
14,0.06219831747345195
9,0.20479933802234174
143,0.6007447248655358
103,0.0
118,0.7538270583367812
36,0.1403944283547097
4,0.10150324093228522
45,0.020824713832574823
175,0.1108812577575507
152,1.0
138,0.30326851468762933
163,0.4784167701006758
151,0.10591642532064544
161,0.09984829678665014
7,0.07998896703902911
124,0.6658391945938491
12,0.7321748724313888
107,0.41387394842090747
34,0.7368638808440215
33,0.8425044821403944
169,0.0013791201213625703
119,0.008964280788856707
15,0.2235553716728727
149,0.06923183009240105
111,0.05819886912150049
63,0.68018204385602
43,0.7153496069507654
144,0.6188111984553855
108,0.18590539235967452
16,0.4610398565715074
134,0.11708729830368225
10,0.7869259412494829
170,0.6676320507516205
97,0.20328230588884294
66,0.31705971590125503
6,0.04413184388360228
156,0.37829264928975315
19,0.05295821266032272
106,0.044683491932147296
177,0.025237898220935043
59,0.07998896703902911
60,0.2583091987312095
18,0.07998896703902911
23,0.7529995862639636
160,0.13570541994207697
172,0.564887601710109
168,0.6527375534409048
72,0.03475382705833678
116,0.8575368914632464
73,0.7153496069507654
100,0.4180113087849952
117,0.07488622258998759
84,0.3418838780857813
50,0.694249069093918
53,0.403392635498552
62,0.25362019031857674
153,0.14218728451248105
158,0.9725555095848848
74,0.297200386153634
127,0.565990897807199
38,0.03930492345883327
24,0.4577299682802372
29,0.6976968693973244
70,0.5258585022755482
179,0.4963453316783892
77,0.5413046476348091
64,0.11157081781823197
141,0.4545579920011033
51,0.43221624603502967
126,0.5225486139842781
174,0.3766377051441181
128,0.28258171286719075
55,0.740863329195973
2,0.022755482002482424
80,0.020824713832574823
132,0.25430975037925807
140,0.2763756723210592
180,0.021790097917528617
79,0.3718107847193491
52,0.2853399531099159
157,0.12260377878913253
61,0.19969659357330027
123,0.5396497034891738
26,0.06495655771617709
122,0.06123293338849814
81,0.49551785960557165
137,0.3196800441318439
105,0.7545166183974625
71,0.09474555233760862
114,0.6146738380912977
91,0.8714660046890084
162,0.058474693145773
121,0.3591228796028134
49,0.32974762101779065
154,0.09074610398565716
46,0.28864984140118605
22,0.7272100399944836
145,0.019997241759757284
101,0.13225761963867053
3,0.04675217211419114
42,0.6596331540477176
76,0.20190318576748034
41,0.0700593021652186
96,0.49220797131430155
32,0.2766514963453317
130,0.03420217900979175
125,0.013101641152944418
25,0.8838780857812716
39,0.18121638394704181
110,0.3013377465177217
95,0.24824162184526272
20,0.16039167011446698
40,0.19555923320921254
8,0.6466694249069094
166,0.209764170459247
21,0.012136257067990625
65,0.7120397186594953
28,0.19845538546407393
173,0.32561026065370297
0,0.17721693559509033
142,0.7680319955868156
113,0.7630671631499104
69,0.1372224520755758
30,0.3559509033236795
89,0.34919321472900294
148,0.2683767756171563
120,0.04578678802923736
112,0.39153220245483383
147,0.0038615363398152025
37,0.08081643911184666
135,0.8033374706936975
129,0.692594124948283
